Botanical correlations,Status of correlation,Discussions on its identity by experts with reference,S. No,English,Sanskrit,Diacritical
Acacia arabica,Suggested Source,"In Kaideva and Sodala nighantu, 'Abhababulaka' is described seperately after 'Babbula'; 'Abhababulaka' is described under Laksmana varga where as 'Babbula' is described under 'Amradi varga'; But Bapalal Vaidya has correlated this to Acacia arabica which is 'Babbula'; According to the author this may be a type of 'Babbula'",1,Abhababulaka,आभाबब्बूलक,ābhābabbūlaka
Acacia sp.,Accepted source,"In Kaideva and Sodala nighantu, 'Abhababulaka' is described seperately after 'Babbula'; 'Abhababulaka' is described under Laksmana varga where as 'Babbula' is described under Amradi varga; According to the author this may be a type of 'Babbula' and hence identified with this species",1,Abhababulaka,आभाबब्बूलक,ābhābabbūlaka
Asparagus Sp.,Most probable,Abhiru' has been mentioned just once in Caraka samhita; It is a synonym of 'Satavari' or is a plant that resembles 'Satavari' and hence most probably correlated to this species,2,Abhirupatri,अभीरुपत्री,abhīrupatrī
Pistacia vera Linn.,Accepted source,Imported,3,Abhisuka,अभिषुक,abhiṣuka
Pistacia vera Linn.,Accepted source,Identified with this species,3,Abhisuka,अभिषुक,abhiṣuka
Pistacia vera Linn.,Most probable,"Abhisuka is mentioned along with fruits like 'Vatama', 'Aksoda' etc which are dry and unctuous in nature; Some of them identify 'Pista' with 'Abhisuka' and even the author agrees with it and identifies 'Abhisuka' with this species",3,Abhisuka,अभिषुक,abhiṣuka
Acacia pennata Willd.,Most probable,"Susruta in his description has mentioned this as a vella (creeper); In Abhidanaratnamala, 'Khadiravalli' has been given as its synonym; According to the author it is this species which the adivasis refer as 'Arar' which has origined from 'Adari'. A.pennata is a creeper and has features similar to the ones described in the text and hence can be taken into consideration",4,Adari,आदारी,ādārī
Cassia auriculata Linn.,Most probable,With regard to its morphological features it is most probably identified with this species,5,Adarisimbi,आदारिशिम्बी,ādāriśimbī
Trichodesma indicum R. Br.,Accepted source,Identified with it,6,Adhahpuspi,अधःपुष्पी,adhaḥpuṣpī
Cajanus cajan (Linn.) Millsp.,Accepted source,Identified with it,7,Adhaki,आढकी,āḍhakī
Cajanus cajan (Linn.) Millsp.,Accepted source,Identified with it,7,Adhaki,आढकी,āḍhakī
Cajanus cajan (Linn.) Millsp. var. bicolor DC.,Accepted source,Variety of adhaki is identified with this species,8,Adhaki - prakara,आढकी प्रकार,āḍhakī prakāra
Cajanus cajan (Linn.) Millsp. var. flavus DC.,Accepted source,Variety of adhaki is identified with this species,8,Adhaki - prakara,आढकी प्रकार,āḍhakī prakāra
Argyria petaloides,Controversial,"With regard to the commentary given in Caraka, Adhoguda is identified as Vrddhadaraka which is correlated to this species but this species does not tally with the properties of Adhoguda",9,Adhoguda,अधोगुडा,adhoguḍā
Euphorbia acaulis Roxb.,Accepted source,In the texts it has been mentioned among the purgative drugs; Has been cited just once in Caraka samhita; Guda is a synonym of Snuhi so the literal meaning of Adhoguda is 'Snuhi that grows underground'; It is identified with this species,9,Adhoguda,अधोगुडा,adhoguḍā
Euphorbia acaulis Roxb.,Most probable,May be a variety of snuhi,9,Adhoguda,अधोगुडा,adhoguḍā
Euphorbia nivulia,Accepted source,Guda is the synonym of Snuhi which is correlated to this species,9,Adhoguda,अधोगुडा,adhoguḍā
Helianthus annuus Linn.,Controversial,Commentators have usually identified Adityavalli with this species,10,Adityavalli,आदित्यवल्ली,ādityavallī
Aquilaria agallocha Roxb.,Accepted source,Identified with it,11,Agaru,अगरु,agaru
Aquilaria agallocha Roxb.,Accepted source,Agaru is identified with this species,11,Agaru,अगरु,agaru
Sesbania grandiflora (Linn.) Pers.,Accepted source,Identified with it,12,Agastya,अगस्त्य,agastya
Sesbania grandiflora Pers.,Accepted source,Identified with it,12,Agastya,अगस्त्य,agastya
Artemisia indica.,Suggested source,Nighantu sangraha has correlated Agnidamani to Artemisia indica but its morphology doesn’t tally with this species; It needs to be avoided,13,Agnidamani,अग्निदमनी,agnidamanī
Solanum dulcamara Linn.,Suggested source,Agnidamani' has been mentioned in Rajanighantu; With regard to its synonym 'Vallikantakarika' it seems to be 'Kantakari' of the creeper variety; This species is suggested to be used as 'Agnidamani' as it has similar uses when compared to the one mentioned in the texts,13,Agnidamani,अग्निदमनी,agnidamanī
Solanum trilobatum,Accepted source,Agnidamani is correlated to this species,13,Agnidamani,अग्निदमनी,agnidamanī
Solanum trilobatum Linn.,Accepted source,Agnidamani' has been mentioned in Rajanighantu; With regard to its synonym 'Vallikantakarika' it seems to be 'Kantakari' of the creeper variety; It is identified with this species according to Vaidya Bapalal ji,13,Agnidamani,अग्निदमनी,agnidamanī
Clerodendron phlomoids & Premna integrifolia,Accepted source,Agnimantha is correlated to this species,14,Agnimantha,अग्निमन्थ,Agnimantha
Clerodendrum phlomidis Linn. f.,Suggested source 2,Two accepted names given on basis of 2 types of Agnimantha viz.Vrhat and Ksudra,14,Agnimantha,अग्निमन्थ,Agnimantha
Premna integrifolia Linn.,Accepted source,Agnimantha is identified with this species,14,Agnimantha,अग्निमन्थ,Agnimantha
